BR,En,Hun
prefiro,I prefer,inkább
tony,Tony,Tony
fiquem,stay,marad
perdão,forgiveness,megbocsátás
haverá,there will be,lesz
livros,books,könyvek
apesar,despite,annak ellenére
justiça,justice,igazságszolgáltatás
dança,dance,tánc
braço,arm,kar
costumava,I used to,Szoktam
will,Will,Akarat
líder,leader,vezető
cale,cale,cuke
má,bad,rossz
pego,caught,elkapott
vergonha,shame,szégyen
criar,to create,készíteni
almoço,lunch,ebéd
coragem,courage,bátorság
risco,risk,kockázat
som,sound,hang
pude,can,tud
roubar,to steal,lopni
vários,several,számos
roubou,he stole,ellopta
negro,black,fekete
espírito,spirit,szellem
cansado,tired out,kifáradni
defesa,defense,védelem
gostou,did you like it,tetszett
principal,main,fő-
novos,new,új
fbi,FBI,FBI
bunda,butt,csikk
especialmente,especially,különösen
peço,I ask,én kérdezem
cartas,cards,kártyás kártyák
enorme,huge,hatalmas
funcionar,work,munka
imaginar,to imagine,elképzelni
inimigo,enemy,ellenség
ganhou,it won,nyert
brilhante,bright,fényes
entra,goes into,belemegy
londres,London,London
julgamento,judgment,ítélet
cheia,full,teljes
pernas,legs,lábak
don,Don,Don
aparecer,to appear,megjelenni
longa,long,hosszú
trata,treat,csemege
tirou,took out,elővett
juiz,judge,bíró
estrela,star,csillag
ficam,stay,marad
segura,safe,biztonságos
gay,gay,meleg
piada,joke,tréfa
mora,moon,hold
felizes,happily,boldogan
inteira,entire,teljes
realidade,reality,valóság
d,D,D
procura,search,keresés
relatório,report,jelentés
dizia,he said,ő mondta
saiam,sky,ég
sapatos,shoes,cipő
irão,van,kisteherautó
estação,station,állomás
falamos,We talk,Beszélünk
restaurante,restaurant,étterem
responsável,responsible,felelős
merece,deserve,megérdemel
diante,against,ellen
flores,flowers,virágok
carros,cars,autók
billy,Billy,Fütykösbot
novas,new,új
viram,They saw,Láttak
percebi,I noticed,észrevettem
dúvida,doubt,kétség
conhecemos,We know,Tudjuk
provas,evidences,bizonyítékok
sejam,be,lenni
evitar,avoid,elkerül
alvo,target,cél
tenham,have,van
nomes,names,nevek
pedaço,chunk,darab
destruir,to destroy,elpusztítani
gato,cat,macska
classe,class,osztály
apareceu,he appeared,megjelent
cheguei,I arrived,megérkeztem
subir,move up,felfelé mozog
brincar,to play,játszani
buraco,hole,lyuk
ido,gone,elmúlt
meninos,boys,fiúk
infelizmente,unfortunately,sajnálatos módon
soldados,soldiers,katonák
gentil,kindly,kedvesen
herói,hero,hős
usou,used,használt
cadeia,chain,lánc
filmes,films,filmek
morrendo,dying,haldoklik
it,IT,AZT
acima,above,felett
gelo,ice,jég
corrida,race,verseny
xerife,sheriff,seriff
caramba,damn,átkozott
busca,search,keresés
suponho,suppose,tegyük fel
visão,vision,látomás
estás,these,ezek
richard,Richard,Richard
investigação,investigation,vizsgálat
yeah,yeah,igen
pedindo,asking,kérve
limpar,to clean,tisztítani
árvore,tree,fa
mentindo,lying,fekvő
soubesse,knew,tudta
inglês,English,angol
eua,USA,Egyesült Államok
estranha,strange,furcsa
vídeo,video,videó
início,start,Rajt
fizer,do,csinál
correndo,running,futás
endereço,address,cím
prédio,building,épület
tommy,Tommy,Tommy
tamanho,size,méret
praia,beach,strand
vieram,came,jött
nervoso,nervous,ideges
havendo,there,ott
laboratório,laboratory,laboratórium
parede,wall,fal
brincadeira,joke,tréfa
amar,love,szerelem
cortar,cut,vágott
entrada,Prohibited,Tiltott
cor,color,szín
super,super,szuper
johnny,Johnny,Johnny
descobriu,found,megtalált
vemos,we see,látjuk
matei,killed,megölt
natureza,nature,természet
metros,meters,méter
ray,ray,sugár
idiotas,idiots,idióták
testemunha,witness,tanú
projeto,project,projekt
carreira,career,karrier
deixando,letting,engedés
navio,ship,hajó
limpo,clean,tiszta
comecei,started,elindult
código,code,kód
responder,to respond,válaszolni
gostava,liked,tetszett
movimento,movement,mozgalom
ridículo,ridiculous,nevetséges
estilo,style,stílus
bravo,angry,mérges
jornal,newspaper,újság
terminou,it ended,véget ért
bêbado,drunk,részeg
pedra,stone,kő
animal,animal,állat
inocente,innocent,ártatlan
toma,tone,hangzás
fé,faith,hit
mudança,change,változás
escreveu,he wrote,írt
dados,data,adat
poderiam,they could,ők tudnák
peixe,fish,hal
jake,jake,Jake
americano,American,Amerikai
velhos,velhos,Velhos
memória,memory,memória
departamento,Department,Osztály
pergunte,ask,kérdez
contigo,with you,veled
confiança,trust,bizalom
estrelas,stars,csillagok
absolutamente,absolutely,teljesen
afinal,in the end,a végén
contas,accounts,fiókok
adoraria,I would love,szeretném
floresta,forest,erdő
total,total,teljes
dirigir,to drive,vezetni
obviamente,obviously,magától értetődően
m,m,m
episódio,episode,epizód
vimos,saw,fűrész
major,major,Jelentősebb
pescoço,neck,nyak
mark,Mark,Mark
olhem,look,néz
preparar,prepare,készít
mantenha,Keep,Tart
amy,Amy,Amy
grávida,pregnant,terhes
vejam,see,lát
processo,process,folyamat
clientes,customers,ügyfelek
entregar,deliver,szállít
temporada,season,évad
diabo,devil,ördög
cadeira,chair,szék
maria,Maria,Maria
soldado,Soldier,Katona
esperem,wait,várjon
pôr,per,egy
tira,strip,szalag
assistir,to attend,résztvenni
agradeço,I thank,köszönöm
coma,with the,a ... val
agradecer,to thank,megköszönni
eddie,Eddie,Eddie
chris,Chris,Chris
férias,vacation,vakáció
desafio,challenge,kihívás
monstro,monster,szörnyeteg
histórias,stories,történetek
redor,surrounding,környező
sentimentos,feelings,érzések
menor,smaller,kisebb
virar,to turn,fordulni
perna,leg,láb
operação,operation,művelet
esqueceu,he forgot,elfelejtette
chegamos,We arrived,Megérkeztünk
of,of,"nak,-nek"
visita,visit,látogatás
caro,Dear,kedves
imagem,image,kép
escapar,escape,menekülni
bala,bullet,golyó
cristo,Christ,Krisztus
apresentar,to present,bemutatni
conhecia,knew,tudta
distância,distance,távolság
chorar,to cry,sírni
faca,do,csinál
van,van,kisteherautó
vencer,win,győzelem
definitivamente,definitely,egyértelműen
particular,particular,különös
amava,AMAV,AMAV
nariz,nose,orr
par,pair,pár
fantástico,Fantastic,Fantasztikus
milhares,thousands,ezrek
pontos,points,pont
braços,arms,fegyver
branca,white,fehér
dado,given away,eladva
nove,nine,kilenc
perfeita,perfect,tökéletes
perguntou,He asked,Kérdezte
beijo,kiss,csók
quieto,still,még mindig
prestes,self,maga
decidir,decide,döntsd el
troca,replacement,csere
ficarei,I will stay,maradok
verde,green,zöld
seguida,followed,követte
universo,universe,világegyetem
uso,use,használat
virá,will come,jönni fog
abaixo,below,lent
antigo,old,régi
li,Li,Li
madame,Madame,Asszonyom
passe,pass,elhalad
apoio,support,támogatás
robert,Robert,Robert
moça,girl,lány
mercado,Marketplace,Piactér
imagino,I guess,azt hiszem
escuro,dark,sötét
bolo,cake,torta
conhecido,known,ismert
banda,band,Zenekar
use,use,használat
detalhes,details,részletek
sr,MR,ÚR
valor,value,érték
recebi,I received,kaptam
doença,illness,betegség
relógio,clock,óra
caminhão,truck,kamion
médicos,doctors,orvosok
rico,rich,gazdag
espécie,species,faj
sabendo,knowing,tudó
culpado,guilty,bűnös
presa,prey,áldozat
perdendo,losing,vesztes
dentes,teeth,fogak
barulho,noise,zaj
tornou,Torn,Szakadt
ryan,Ryan,Ryan
cavalos,horses,lovak
agradável,pleasant,kellemes
arrumar,to arrange,gondoskodjon
poucos,few,kevés
baby,Baby,Baba
parou,stopped,leállt
máximo,maximum,maximális
política,policy,irányelv
majestade,majesty,felség
gostam,like,mint
parque,park,park
kevin,Kevin,Kevin
ponha,put,elhelyez
leite,milk,tej
quebrar,to break,törni
concordo,I agree,Egyetértek
discutir,to discuss,megvitatni
desistir,to give up,feladni
comprou,he bought,megvette
levantar,rise,emelkedik
perdemos,we lost,elvesztünk
salvou,saved,mentett
daquela,that,hogy
velocidade,speed,sebesség
éramos,we were,voltunk
bobby,bobby,bukás
comece,start,Rajt
avó,grandmother,nagymama
cirurgia,surgery,sebészet
milhão,million,millió
acesso,access,hozzáférés
chaves,keys,kulcsok
machucar,hurt,sért
marca,brand,márka
dever,duty,kötelesség
cinema,movie theater,mozi
vêm,he comes,ő jön
nao,no,nem
relaxe,Relax,Ellazul
hum,Hmm,Hmm
livrar,rid,megszabadít
mesmos,same,azonos
vento,wind,szél
chamam,They call,Hívnak
preocupada,concerned,aggasztó
encontrado,found,megtalált
ajudou,helped,segített
depende,It depends,Attól függ
ficamos,we stayed,maradtunk
verdadeira,true,igaz
acabado,finished,befejezett
recebeu,it received,megkapta
portanto,therefore,ebből adódóan
sobreviver,survive,túlél
ti,you,te
fechar,to close,bezárni
ganha,won,nyerte
permissão,permission,engedély
jogando,playing,játék
noites,nights,éjszakai
levando,leading,vezető
princesa,Princess,Hercegnő
maldição,curse,átok
disser,say,mond
vadia,bitch,kurva
ruas,streets,utcák
possamos,we can,tudunk
briga,argument,érv
manda,he sends,küldi
pensava,thought,gondolat
desapareceu,it disappeared,eltűnt
vítimas,victims,áldozatok
bateu,it hit,megütötte
anel,ring,gyűrű
pago,paid out,kifizetett
maldita,nasty,csúnya
normalmente,normally,normális esetben
parado,stopped,leállt
dono,owner,tulajdonos
descansar,rest,pihenés
palco,stage,színpad
maravilhosa,wonderful,csodálatos
come,eats,eszik
km,km,km
tiveram,had,volt
ponte,bridge,híd
noiva,bride,menyasszony
termos,terms,kifejezés
casado,married,házas
língua,language,nyelv
ouvido,heard,hallott
peso,Weight,Súly
trocar,to replace,cserélni
debaixo,underneath,alul
fugiu,ran away,elfutott
lee,lee,lee
unidos,United,Egyesült
estaremos,will be,lesz
in,in,ban ben
tomou,took,vett
comprei,I bought,vettem
correto,correct,helyes
relacionamento,relationship,kapcsolat
obter,to obtain,megszerezni
controlar,to control,ellenőrzés alatt tartani
daniel,Daniel,Dániel
humana,human,emberi
calças,pants,nadrág
martin,martin,Márton
matt,Matt,Matt
orgulho,pride,büszkeség
der,der,der
acordar,to wake up,felébredni
daria,would give,adna
interesse,interest,érdeklődés
garrafa,bottle,üveg
mostre,show,előadás
estados,States,Államok
façam,Do,Csinál
mentir,to lie,hazudni
dedos,fingers,ujjak
eric,Eric,Eric
contrato,contract,szerződés
salvo,saved,mentett
charles,charles,Károly
sentado,seated,ülő
dna,DNA,DNS
aberta,open,nyisd ki
ameaça,threat,fenyegetés
deveriam,should,kellene
esperto,clever,okos
corpos,bodies,test
americanos,Americans,Amerikaiak
conheceu,he knew,tudta
descer,to descend,ereszkedni
vovó,grandfather,nagyapa
perguntando,asking,kérve
deram,they,ők
casos,case,ügy
decidiu,decided,határozott
futebol,soccer,futball
camisa,shirt,ing
odeia,hate,gyűlöl
forças,forces,erők
lar,home,itthon
aparentemente,Apparently,Látszólag
avô,grandmother,nagymama
descobri,I discovered,felfedeztem
querendo,wanting,vágyó
brian,Brian,Brian
maiores,larger,nagyobb
central,central,központi
nacional,national,nemzeti
sociedade,society,társadalom
táxi,taxi,Taxi
voar,to fly,repülni
luzes,lights,Lámpák
agir,Act,törvény
enviar,to send,küldeni
teoria,theory,elmélet
veremos,we'll see,meglátjuk
oferta,offer,ajánlat
cansada,tired,fáradt
frança,France,Franciaország
inglaterra,England,Anglia
preto,black,fekete
ligado,connected,csatlakoztatva
mr,MR,ÚR
resultado,result,eredmény
profissional,professional,szakmai
direi,direct,közvetlen
antiga,old,régi
rachel,rachel,Rachel
responda,reply,válasz
traz,back,vissza
perda,loss,veszteség
fantasma,ghost,szellem
altura,height,magasság
dan,dan,Dan
calor,heat,melegít
devíamos,we should,nekünk kellene
maluco,mad,őrült
ê,It is,Ez
assistente,assistant,helyettes
contei,I told,mondtam
vitória,victory,győzelem
perguntei,I asked,megkérdeztem
números,numbers,szám
feita,made,készült
adorável,adorable,imádni való
chapéu,hat,kalap
divertir,enliven,lelkesít
kelly,Kelly,Koszos
morar,to live,élni
jardim,garden,kert
colega,co-worker,munkatárs
verá,will see,meglátjuk
senão,if not,ha nem
verificar,to check,ellenőrizni
príncipe,Prince,Herceg
scott,scott,Scott
porco,pork,sertéshús
mostra,show,előadás
pessoalmente,personally,Személyesen
natural,Natural,Természetes
decidi,I decided,eldöntöttem
terão,will have,lesz
serem,be,lenni
enfim,anyway,akárhogyan is
cai,falls,esés
fonte,source,forrás
motorista,driver,sofőr
confie,trust,bizalom
escolheu,he chose,ő választ
visitar,visit,látogatás
diversão,fun,szórakozás
universidade,university,egyetemi
terceiro,third,harmadik
juntar,to bring together,hogy összehozhasson
unidade,unit,Mértékegység
responsabilidade,responsibility,felelősség
firme,firm,cég
artista,artist,művész
deixado,left,bal
liguei,I turned on,Bekapcsoltam
pesquisa,search,keresés
pressa,hurry,siet
rapidamente,quickly,gyorsan
momentos,moments,pillanatok
consertar,to repair,megjavítani
legendas,subtitles,felirat
anna,anna,Anna
próximos,Upcoming,Közelgő
servir,serve,szolgál
okay,Okay,oké
usado,used,használt
cala,shut,bezár
quebrou,it broke,eltört
voltei,I went back,visszamentem
al,al,al
escrito,written,írott
ficaram,stayed,maradt
casal,couple,párosít
simon,Simon,Simon
casas,houses,házak
oeste,west,nyugat
tantas,so many,sok
larry,Larry,Larry
interessado,interested,érdekelt
tô,I'm,Én vagyok
casaco,coat,kabát
aberto,open,nyisd ki
encontre,find,megtalálja
lisa,lisa,Lisa
canção,song,dal
chuva,rain,eső
quisesse,would,lenne
espada,sword,kard
pequenos,small,kicsi
bordo,edge,él
voltando,returning,visszatérő
demorar,to take time,Időbe telik
ensinar,to teach,tanítani
achava,found,megtalált
mata,Woods,fák
acabamos,we are done,végeztünk
mentiu,lies,hazugság
jeff,Jeff,Jeff
acaso,chance,véletlen
portas,doors,ajtók
valeu,it cost,költsége
pensam,They think,Azt gondolják
modelo,model,modell
dedo,finger,ujj
sábado,Saturday,szombat
pertence,belong,tartozik
baile,prom,promóciós
pegamos,we take,veszünk
geral,general,Tábornok
atrasado,late,késő
parada,stop,állj meg
viemos,We came,Jöttünk
torna,become,válik
ajudando,Helping,Segít
my,My,Az én
chegaram,They arrived,Megérkeztek
entanto,however,azonban
dão,dão,disznó
seguindo,following,következő
proteção,protection,védelem
fita,tape,szalag
armário,cabinet,szekrény
b,B,B
chamando,calling,hívás
thomas,Thomas,Tamás
washington,Washington,Washington
kate,kate,Kate
santo,Holy,Szent
crédito,credit,hitel
segure,hold,tart
jogos,games,játékok
dói,It hurts,Ez fáj
imprensa,press,nyomja meg
jason,Jason,Jason
honesto,honest,becsületes
aviso,Notice,Értesítés
acampamento,camping,kemping
atirou,shot,lövés
serve,it suits,Ilyen
coloquei,I placed,Elhelyeztem
vovô,grandfather,nagyapa
queriam,They wanted,Akartak
interessa,interest,érdeklődés
objetivo,goal,cél
grana,money,pénz
construir,ramp up,felhajt
inimigos,enemies,ellenségek
sensação,sensation,szenzáció
mande,send,Küld
competição,competition,verseny
militar,military,katonai
paga,pay,fizetés
funcionando,working,dolgozó
corra,run,fuss
morre,dies,elhuny
orgulhoso,proud,büszke
tenta,try,próbáld ki
besteira,nonsense,ostobaság
nasceu,he was born,megszületett
propriedade,property,ingatlan
darei,will give,adni fog
partido,broken,törött
enfermeira,nurse,ápoló
rir,to laugh,nevetni
enviou,it sent,Elküldte
encontraram,found,megtalált
roubo,theft,lopás
apaixonado,passionate,szenvedélyes
membro,member,tag
chocolate,chocolate,csokoládé
internet,Internet,Internet
domingo,Sunday,vasárnap
segredos,secrets,titkok
mandei,I sent,küldtem
deseja,wishes,kívánságok
corredor,Hall,előszoba
sinais,signals,jelek
material,material,anyag
sexual,sexual,szexuális
devido,due,esedékes
smith,Smith,Kovács
acorde,wake up,Kelj fel
lance,throw,dobás
ovos,eggs,tojás
lago,lake,tó
atacar,attack,támadás
primo,cousin,unokatestvér
toca,tap,Koppintson a
felicidade,happiness,boldogság
saí,leaves,levelek
levante,raise,emel
partes,parts,alkatrészek
membros,members,tagok
presos,prisoners,foglyok
pão,bread,kenyér
carona,ride,lovagol
montanha,mountain,hegy
passagem,ticket,jegy
prefeito,mayor,polgármester
confusão,confusion,zavar
peito,chest,mellkas
rock,rock,szikla
venho,I come,jövök
inútil,useless,hiábavaló
vingança,revenge,bosszú
topo,top,felső
contente,happy,boldog
invés,instead,helyette
ferido,injured,sérült
humor,humor,humor
curso,course,tanfolyam
lição,lesson,lecke
aeroporto,airport,repülőtér
original,original,eredeti
sentiu,felt,filc
caralho,fuck,baszd
prêmio,award,díj
exato,exactly,pontosan
júri,jury,zsűri
homicídio,murder,gyilkosság
impedir,prevent,megakadályoz
copo,glass,üveg
jerry,Jerry,Jerry
foder,fuck,baszd
começamos,We started,Elkezdtük
tens,tens,tíz
completo,complete,teljes
nota,note,jegyzet
falso,false,hamis
anjo,angel,angyal
soa,SOA,SOA
vossa,yours,a tiéd
arquivos,files,irat
chamo,call,hívás
cavalheiros,gentlemen,Urak
tempestade,storm,vihar
josh,Josh,Megtréfál
pôde,he can,ő tud
útil,useful,hasznos
los,Los,Los
emily,Emily,Emily
recuperar,to recover,felépülni
chorando,crying,síró
posto,post,oszlop
explosão,explosion,robbanás
cuide,take care,vigyázz magadra
admitir,admit,beismerni
cabo,cable,kábel
melhorar,to improve,fejleszteni
andy,Andy,Andy
ha,there is,van
explodir,explode,felrobban
venda,sale,eladás
acontecido,happened,történt
oferecer,to offer,ajánlani
fortes,strong,erős
crescer,to grow,nőni
aprendi,I learned,tanultam
matando,killing,gyilkolás
presença,presence,jelenlét
pete,pete,pete
amigas,friends,barátok
tecnologia,technology,technológia
ultimamente,lately,utóbbi időben
voltarei,I will be back,még visszatérek
avisar,to warn,figyelmeztetni
via,via,keresztül
preparado,prepared,előkészített
mapa,map,térkép
ouve,hear,hall
viajar,travel,utazás
neve,snow,hó
walter,Walter,Walter
perceber,to perceive,érzékelni
pacientes,patients,betegek
lutando,fighting,harc
ciência,science,tudomány
grace,grace,kegyelem
funcionou,It worked,Működött
morreram,died,meghalt
golpe,stroke,ütés
efeito,It is made,Készült
feche,Close,Bezárás
discurso,speech,beszéd
entrevista,interview,interjú
complicado,complicated,bonyolult
direitos,rights,jogok
dave,Dave,Dave
gás,gas,gáz
mel,honey,édesem
rosa,pink,rózsaszín
ganhei,I won,nyertem
tantos,many,sok
william,William,Vilmos
prometeu,Prometheus,Prométheusz
câncer,cancer,rák
reino,Kingdom,Királyság
primeiros,first,első
teatro,theater,színház
rose,rose,rózsa
falam,They speak,Beszélnek
estarão,will be,lesz
tratamento,treatment,kezelés
data,date,dátum
aceito,accepted,elfogadott
alice,Alice,Alice
canto,corner,sarok
óbvio,obvious,nyilvánvaló
comendo,eating,enni
ladrão,burglar,betörő
ações,actions,cselekedetek
tentativa,attempt,kísérlet
juntas,joint,közös
deixem,Let,Enged
francês,French,Francia
leste,east,keleti
importantes,important,fontos
luke,luke,lukács
impressionante,impressive,hatásos
necessidade,need,szükség
resultados,results,eredmények
cães,dogs,kutyák
conhecimento,knowledge,tudás
apresentação,presentation,bemutatás
assustador,scary,ijedős
bolas,ball,labda
fundos,funds,pénzeszközök
segurar,to hold,tartani
intenção,intention,szándék
gritar,shout out,kiáltani
atire,shoot,lő
garantir,to guarantee,garantálni
sexy,sexy,szexis
evidência,evidence,bizonyíték
familiar,familiar,ismerős
prato,dish,tál
muda,mold,öntőforma
jogou,it played,Játszott
europa,Europe,Európa
respostas,answers,válaszadás
imbecil,asshole,seggfej
on,on,tovább
tolo,fool,bolond
aulas,classes,osztályok
agentes,agents,ügynökök
claramente,clearly,tisztán
mate,Herb tea,Gyógyító tea
favorito,favorite,kedvenc
cheque,check,jelölje be
poderoso,powerful,erős
perfeitamente,perfectly,tökéletesen
vivendo,living,élő
século,century,század
vinte,twenty,húsz
tomando,taking,bevétel
vazio,empty,üres
carter,Carter,Kocsis
respirar,breathe,lélegzik
opção,option,választási lehetőség
pergunto,I ask,én kérdezem
vivos,vivic,élményes
passamos,we pass,átmegyünk
amizade,friendship,barátság
suicídio,suicide,öngyilkosság
gênio,genius,zseni
exame,exam,vizsga
emma,Emma,Emma
fingir,to fake,hamisítani
roma,pomegranate,gránátalma
registros,records,nyilvántartás
talento,talent,tehetség
extra,extra,külön-
clara,clear,egyértelmű
social,Social,Szociális
confio,confidence,bizalom
médica,doctor,orvos
comunidade,community,közösség
atender,to meet,találkozni
erros,errors,hibák
deuses,gods,istenek
tido,performed,teljesített
solução,solution,megoldás
laura,laura,Laura
claire,claire,Claire
ruins,bad,rossz
chances,chances,esély
fechado,closed,zárva
comeu,he ate,evett
fossem,were,voltak
confortável,comfortable,kényelmes
centenas,hundreds,százai
chato,boring,unalmas
corre,run,fuss
kyle,kyle,Kyle
presentes,gift,ajándék
mandado,warrant,garantál
aparece,pops up,felbukkan
testes,tests,tesztek
interior,interior,belső
fraco,weak,gyenge
rede,network,hálózat
terceira,third,harmadik
ato,act,törvény
famoso,famous,híres
seremos,we will be,mi leszünk
geralmente,generally,általában
magia,Magic,varázslat
aconteça,happen,történik
solte,loose,laza
poderes,powers,hatalom
nisto,on this,ezen
pegando,Catching,Fogás
fazenda,farm,Farm
identidade,identity,identitás
consciência,conscience,lelkiismeret
últimas,last,utolsó
esquece,he forgets,Elfelejti
annie,annie,Annie
new,new,új
começaram,started,elindult
porcaria,filth,piszok
treinador,trainer,edző
carteira,portfolio,portfólió
estudar,to study,tanulni
queijo,cheese,sajt
colegas,colleagues,kollégák
comportamento,behavior,viselkedés
mexa,mix,keverd össze
coloca,put,elhelyez
pequenas,small,kicsi
siga,go,megy
bagunça,mess,rendetlenség
registro,record,rekord
nervosa,nervous,ideges
saberia,would know,tudnád
alegria,happiness,boldogság
violência,violence,erőszak
transar,to get laid,lefeküdni valakivel
vestir,wear,viselet
árvores,trees,fák
és,You,te
prender,to secure,biztosítani
assinar,to sign,aláírni
próprios,own,saját
inspetor,inspector,ellenőr
mexer,to mix,keverni
chicago,Chicago,Chicago
anteriormente,previously,korábban
conhecem,know,tud
envolvido,involved,magában foglal
crimes,crimes,bűncselekmények
tratar,deal with,kezelni
mano,Bro,tesó
conseguia,managed,kezelt
truque,trick,trükk
vantagem,advantage,előny
arquivo,file,irat
star,star,csillag
virou,turned,fordult
lucy,Lucy,Lucy
entrei,I entered,beléptem
roger,roger,Roger
contando,counting,számolás
notas,grades,fokozat
pau,stick,rúd
puxa,tug,rántás
passeio,tour,túra
porém,although,habár
recentemente,recently,mostanában
famílias,families,család
carl,carl,carl
leo,leo,Oroszlán
entrando,entering,belépő
costa,coast,tengerpart
documentos,document,dokumentum
imagine,imagine,Képzeld el
câmeras,cameras,kamerák
condições,conditions,körülmények
incêndio,fire,Tűz
impressão,print,nyomtatás
pagou,paid,fizetett
dará,will,akarat
pizza,Pizza,pizza
sono,sleep,alvás
zero,zero,nulla
votos,wishes,kívánságok
desgraçado,Bastard,Fattyú
bando,gang,banda
pensamos,We think,Azt gondoljuk
ocupada,busy,elfoglalt
gritando,yelling,kiabálás
demônio,demon,démon
mostrou,showed,megmutatott
preocupa,worry,aggodalom
mataram,killed,megölt
babaca,idiot,idióta
sozinhos,alone,egyedül
fábrica,factory,gyár
méxico,Mexico,Mexikó
piloto,pilot,pilóta
ed,ed,szerkesztés
abre,open,nyisd ki
deixarei,I will let,megengedem
choque,shock,sokk
mundial,world,világ
joga,play,játék
nojento,disgusting,undorító
completa,full,teljes
instante,instant,azonnali
louis,Louis,Louis
temo,tema,tema
trabalhou,has worked,dolgozott
queda,fall,esik
inteligência,intelligence,intelligencia
escondendo,hiding,bujkál
susan,Susan,Susan
levaram,took,vett
óculos,glasses,szemüveg
vermelha,red,piros
fã,fan,ventilátor
limpa,clean,tiszta
criou,created,létrehozott
gary,Gary,Gary
qualidade,quality,minőség
rápida,rapid,gyors
trabalhava,worked,dolgozott
guardas,guards,gárdisták
daqueles,those,azok
humanidade,humanity,emberiség
mágica,magic,varázslat
estejam,be,lenni
corda,string,húr
huh,huh,Hát
difíceis,tough,kemény
sinta,feel,érez
clark,Clark,Zúgó
ted,TED,Ted
alan,Alan,Alan
tim,TIM,Tim
taylor,taylor,Taylor
conversamos,we talk,beszélünk
sujeito,subject,tantárgy
pânico,panic,pánik
santa,saint,szent
phil,phil,phil
surpreso,astonished,megdöbbent
sujo,dirty,piszkos
tipos,types,típus
amante,lover,szerető
dura,hard,kemény
padrão,standard,alapértelmezett
ensinou,he taught,tanított
bate,crash,ütközés
bolso,pocket,zseb
entrem,enter,belép
raio,ray,sugár
levo,leve,hintó
lavar,to wash,mosni
deixaram,let,enged
quebrado,broken,törött
sorriso,smile,mosoly
sincronia,sync,szinkronizál
devolver,give back,visszaad
gigante,giant,óriás
motor,motor,motor
testemunhas,witnesses,tanúk
funeral,funeral,temetés
montanhas,mountains,hegyek
voltará,will return,vissza fog térni
parecido,like,mint
secreto,secret,titok
dormiu,he slept,aludt
razões,reasons,okok
sean,sean,Sean
sofá,sofa,kanapé
arthur,Arthur,Arthur
pegaram,caught,elkapott
jackson,jackson,jackson
estranhos,strangers,idegenek
ficava,it was,ez volt
apresenta,it presents,bemutatja
estúpida,stupid,hülye
consiga,get,kap
permitir,to allow,megengedni
zona,zone,zóna
tomei,drank,ivott
fila,row,sor
convidado,guest,vendég
rindo,laughing,nevetés
joey,Joey,Joey
negra,black,fekete
alerta,alert,éber
basicamente,basically,alapvetően
televisão,television,televízió
solo,ground,talaj
neles,on them,rajtuk
voltem,come back,Gyere vissza
arriscar,risk,kockázat
evento,event,esemény
that,that,hogy
sumiu,it disappeared,eltűnt
piscina,pool,medence
duvido,I doubt,kétlem
deserto,desert,sivatag
desculpar,apologize,bocsánatot kér
sir,sir,uram
vôo,flight,repülési
miss,Miss,Hiányzik
matado,killed,megölt
cuido,take care,vigyázz magadra
folga,day off,szabadnap
san,San,SAN
bobo,Stew,Pörkölt
grave,serious,komoly
imagens,images,képek
enfrentar,face,arc
massa,pasta,tészta
pensado,thought,gondolat
amei,I loved,szerettem
promessa,promise,ígéret
imaginei,I imagined,elképzeltem
regra,rule,szabály
esperamos,We hope,Reméljük
antigos,old,régi
balas,bullets,golyó
checar,check,jelölje be
califórnia,California,Kalifornia
alemães,Germans,Németek
voltamos,we come back,visszajövünk
campanha,campaign,kampány
sentia,Sentia,Sentia
encontra,find,megtalálja
blake,Blake,Takár
fantasia,fantasy,fantázia
confuso,confused,zavaros
angeles,Angeles,Angeles
delegacia,police station,rendőrség
desligar,to switch off,kikapcsolni
escondido,hidden,rejtett
convidados,guest,vendég
moda,fashion,divat
mover,to move,mozogni
pedaços,pieces,darabok
aceita,accepted,elfogadott
frango,chicken,csirke
ligando,calling,hívás
tirando,taking,bevétel
mala,slob,sár
torre,tower,torony
professora,teacher,tanár
kim,Kim,Kim
cigarro,cigarette,cigaretta
arranjar,get,kap
fumar,smoke,füst
percebe,realize,Rájön
mentiras,lies,hazugság
gerente,manager,menedzser
iguais,equals,egyenlő
mentiroso,liar,hazug
companheiro,partner,partner
versão,version,változat
confia,trust,bizalom
milagre,miracle,csoda
voo,flight,repülési
fronteira,border,határ
apostar,to bet,fogadni
limite,limit,határ
noel,Santa,Télapó
hei,hei,héja
revista,magazine,magazin
jornais,newspapers,újságok
fizesse,do,csinál
china,China,Kína
sede,thirst,szomjúság
á,The,A
pesadelo,nightmare,lidércnyomás
beba,drink it,idd meg
pesado,heavy,nehéz
placa,plate,lemez
deva,dev,dev
hã,there is,van
ficado,remained,megmaradt
conexão,connection,kapcsolat
digitais,digital,digitális
chef,chef,séf
conto,tale,mese
inverno,winter,téli
praticamente,virtually,gyakorlatilag
madeira,wood,faipari
bebês,babies,babák
beijar,kiss,csók
conversando,talking,beszél
castelo,castle,kastély
sentimento,feeling,érzés
dirigindo,driving,vezetés
covarde,coward,gyáva
elizabeth,Elizabeth,Erzsébet
estômago,stomach,gyomor
escutar,to listen,hallgatni
pareceu,It appeared,Megjelent
